node_id,geneSymbol,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
91,CACNB1,-0.13562995,-0.096720725,-0.01079183,0.093991,0.025878163,0.018293679,-0.026691223,0.01938472,0.00031812862,0.12344739,0.03120539,-0.014236053,0.17655638,-0.044685956,0.16356061,-0.030362947
92,CACNB2,-0.16721265,-0.13401653,-0.04010293,0.15585615,0.05417581,0.021560047,-0.0626847,0.027128767,-0.0034688022,0.18143068,0.092698246,-0.037273668,0.3205446,-0.07858232,0.24111795,-0.031785674
98,ATIC,-0.20858492,-0.20450428,0.045551956,0.22436526,0.08368244,0.015957221,-0.029527556,0.042884223,0.021711577,0.25245273,0.13029784,-0.099921376,0.46719548,-0.12877512,0.2893096,0.008821599
101,DDB1,-0.22326906,-0.20019461,-0.009477343,0.28891784,0.07268149,0.040214248,-0.09292348,0.040173795,-0.010323875,0.26003703,0.13403094,-0.1043148,0.46226558,-0.14779621,0.41516465,-0.05211914
102,SCN9A,-0.2818082,-0.2998555,0.057287186,0.457968,0.084899545,0.0639163,-0.10610366,0.059068725,-0.025523998,0.35175952,0.15582225,-0.19005503,0.64113706,-0.20684765,0.59943074,-0.05329673
104,SRPRB,-0.2026116,-0.20052366,-0.0047108,0.26685122,0.054288022,0.047259375,-0.052167427,0.0454025,-0.024905108,0.21456589,0.1057171,-0.073930174,0.42765418,-0.12611,0.35608953,-0.055247925
109,HEBP1,-0.29057065,-0.26678258,0.0124427155,0.39241228,0.103179246,0.03923664,-0.10800307,0.045526735,-0.0013042309,0.32067475,0.1703628,-0.15916581,0.58330035,-0.19278008,0.50933707,-0.04981565
115,SLC19A3,0.016414953,0.120301485,-0.0019357819,-0.08553538,-0.014835807,0.053347316,0.031599276,-0.018388582,-0.017770085,-0.105284974,0.0006553363,0.02581742,-0.15156057,0.028051684,-0.13502562,0.009276723
116,EGFR,-0.4083643,-0.33585015,0.022887604,0.49453378,0.11313625,0.066891745,-0.15081252,0.06500448,-0.0112333335,0.43912244,0.24254791,-0.17844668,0.7508431,-0.2451849,0.67589605,-0.10246915
118,PSMC6,-0.3348993,-0.30830732,0.011660656,0.45454165,0.125144,0.061616227,-0.10133542,0.07706838,-0.020100672,0.34828126,0.17476584,-0.155251,0.71713716,-0.2278031,0.58337873,-0.072167054
122,SLC19A1,-0.023390848,0.056479998,0.10266888,-0.1131493,-0.04258347,0.027707959,0.0030592568,-0.10308033,0.029377826,-0.06928399,-0.05666669,0.016789809,-0.049741667,0.03588721,-0.083577745,-0.01683965
125,SPP1,-0.5512272,-0.39559466,0.022461165,0.59066737,0.089201696,0.109707825,-0.1790508,0.08154441,-0.015608612,0.53762686,0.31524336,-0.23313197,0.88097227,-0.2955724,0.8197309,-0.15950438
131,ODC1,-0.1597736,-0.18598102,-0.13183913,0.2592748,0.05231352,0.013809223,-0.08635361,0.05453454,0.0031708088,0.2171305,0.10829775,-0.12566325,0.35591477,-0.08073439,0.33583927,0.014675254
135,SRSF10,-0.23445338,-0.20745149,-0.01209149,0.31112325,0.10405534,0.023636024,-0.072750986,0.041464794,-0.011695145,0.26480496,0.13411832,-0.11071318,0.50766504,-0.16013345,0.4122423,-0.06239827
136,PSMB9,-0.3087417,-0.26571617,-0.0008771183,0.3873578,0.11145844,0.059021305,-0.097101584,0.06642224,-0.03299129,0.3131038,0.15538298,-0.12942044,0.6286521,-0.19509731,0.5164696,-0.072340764
137,PSMB8,-0.4497266,-0.3343806,0.005358201,0.48591444,0.13762605,0.09153002,-0.15500863,0.069032796,-0.018615762,0.4475682,0.23597063,-0.17586291,0.76541114,-0.25326544,0.6787325,-0.09674781
