ID(a),a.geneSymbol
2835,CXCL8
2843,KAT2A
2844,CXCL2
2845,DPP4
2847,KAT2B
2850,PBK
2853,AOX1
2859,GPI
2864,GPT
2869,SENP6
2873,PAH
2877,ALDH2
2880,STN1
2892,EPHX2
2896,XPC
2906,CDK17
2907,CDK19
2915,SI
2916,VDAC1
2917,VDAC3
2920,TGFB2
2922,TGFB3
2924,GLS
2929,GLA
2935,HSPD1
2938,HTR7
2939,HTR6
2952,HTR4
2953,S100A4
2954,HSD3B2
2959,TH
2961,PSMD10
2963,PSMD14
2964,TF
2975,MAOB
2976,MAOA
2979,NME1
2981,SLC32A1
2983,NME2
2986,MT2A
2995,ACACA
2997,ACACB
2999,STK39
3007,MT1A
3012,AMY2A
3014,MAP2K5
3015,OGA
3019,MAP2K1
3026,MAPT
3027,EPHA3
3028,EPHA2
3032,RYR1
3042,RHOA
3044,RHOB
3047,STK24
3050,FEN1
3054,CAPN1
3057,CCND1
3060,CCND3
3063,RECQL
3079,CCNE1
3089,ESR2
3090,ESR1
3092,RPS6KB2
3094,OAT
3105,PPP2CA
3107,RPS6KA1
3110,GAA
3131,P2RY12
3132,GPX5
3149,CDK7
3150,CDK6
3151,PRDX4
3157,CDK2
3160,CDK4
3162,FCGR1A
3165,CDK1
3167,SMARCA4
3169,SMARCA2
3177,KLF4
3181,FOXO3
3183,TNFRSF1B
3215,MYD88
3219,EPHB6
3222,METAP2
3233,NDUFB5
3234,NDUFB6
3235,NDUFB3
3236,POLR3G
3237,STK10
3239,NDUFB4
3240,NDUFB9
3244,NDUFB7
3245,VKORC1L1
3246,NDUFB8
3247,NDUFB1
3248,NDUFB2
3252,EPHA6
3258,MRM2
3272,NDUFA4
3273,NDUFA5
3275,NDUFA2
3277,NDUFA3
3279,NDUFA8
3283,NDUFA9
3286,NDUFA6
3290,NDUFA7
3291,NDUFA1
3293,EPHB2
3298,IL1R2
3305,DHODH
3308,POLR1G
3314,FYN
3319,TP53
3339,FXN
3347,LAMC2
3349,HMGB1
3356,EIF2AK2
3357,EIF2AK3
3359,ADRA2B
3360,ADRA2C
3362,ADRA2A
3364,TUBB2A
3365,TUBB2B
3366,TPH1
3367,TUBB4A
3369,TUBB4B
3371,TPH2
3372,LAMB3
3375,GJB3
3376,SLC29A4
3378,SLC29A1
3380,SLC29A2
3381,ATP1B1
3382,ATP1B3
3383,ATP1B2
3386,RARG
3389,GART
3391,POU5F1
3392,LAMA3
3394,KDM1A
3397,ABHD6
3400,CYSLTR2
3401,CYSLTR1
3402,RARA
3403,RARB
3408,PXN
3409,HSD11B1
3411,ADORA2A
3412,ADORA2B
3416,GPER1
3420,ADRA1A
3423,ADRA1B
3425,NDUFC2
3428,NDUFC1
3429,ADRA1D
3438,BAZ2B
3439,GATM
3443,NUCB2
3446,USP1
3447,DIO1
3449,NUCB1
3450,PRKACA
3457,HCAR3
3458,HCAR2
3465,TPMT
3468,ACVRL1
3477,BCHE
3479,SCN10A
3481,HDC
3487,IPO4
3489,FGF4
3490,FGF1
3491,FGF2
3492,PRKAG1
3493,PRKAG2
3499,NNMT
3502,DYRK3
3503,GRK3
3504,GRK2
3505,MAP3K20
3506,CDC42BPA
3507,ETV1
3508,CDC42BPB
3510,ACKR3
3514,PLD2
3515,PLD1
3517,PLAU
3522,MINK1
3525,UBA2
3527,RRM1
3528,RRM2
3532,GRM5
3535,HSPA1A
3537,PIK3R1
3538,PIK3R4
3540,CNR2
3541,CNR1
3542,PIK3R3
3557,TENT4A
3559,HPD
3562,NDUFS6
3563,NDUFS7
3565,NDUFS4
3566,NDUFS5
3567,AMHR2
3568,NDUFS8
3571,NDUFS2
3572,NDUFS3
3574,NDUFS1
3577,HUS1
3578,GNA11
3591,COL6A3
3595,HMOX2
3598,COL6A1
3602,HMOX1
3603,PLK2
3604,PLK1
3608,PLK4
3609,PLK3
3611,GJA1
3614,MTAP
3615,ATP1A2
3617,ATP1A1
3618,COL11A1
3619,ATP1A4
3621,ATP1A3
3623,PHOSPHO1
3627,CYP17A1
3629,CARM1
3630,TFAP2A
3634,NT5C2
3635,HMGCR
3654,TGFA
3669,CYP3A43
3670,YWHAG
3680,AMPD1
3681,NDUFV1
3682,NDUFV2
3684,NDUFV3
3696,TARDBP
3700,APOE
3702,SDC1
3708,KCNJ11
3710,KCNJ12
3726,SOCS1
3727,CHEK2
3728,CHEK1
3730,ASIC1
3732,PGR
3733,ASIC2
3737,COL5A2
3739,PCNA
3747,CRISPLD2
3750,PGD
3755,HPGDS
3763,NOTCH1
3764,G6PD
3769,SLC46A1
3774,APRT
3776,GLRA1
3777,RIT1
3781,GLRA3
3782,GLRA2
3789,CXCR1
3793,TOP2A
3795,TOP2B
3799,GSR
3801,CXCR4
3804,PLAT
3816,IKBKE
3821,IKBKG
3831,TGM2
3834,IKBKB
3837,NCOA3
3845,NCOA1
3847,NCOA2
3857,SDHB
3865,RAF1
3872,SUMO4
3880,AVPR1A
3881,GC
3886,CREBBP
3889,AVPR1B
3895,HBB
3916,A2M
3918,ESRRA
3919,CYB5R4
3923,CYB5R3
3925,CYB5R1
3927,ESRRG
3949,HP
3954,LGALS8
3961,POR
3966,RNASEH2A
3969,NPTX2
3970,SLC15A1
3971,SLC15A2
3976,PNP
3990,TXNRD1
4001,CACNA2D1
4004,CDC37
4006,AR
4007,CACNA2D2
4010,CACNA2D3
4011,C3
4012,C5
4018,ACSS2
4021,PTK2
4027,XBP1
4032,CDC42
4036,EDNRB
4037,EDNRA
4038,SLPI
4042,F9
4044,F3
4045,F2
4051,PLG
4061,CHRNA10
4062,PKM
4064,SLC28A1
4065,SLC28A3
4069,TBXA2R
4070,CES2
4071,CES1
4079,BHMT
4081,APEX1
4086,EZH2
4091,BBOX1
4095,TDP1
4096,TDP2
4110,IGF1R
4111,LTB4R
4113,IL6
4121,IGF2R
4140,EGLN3
4142,EGLN2
4143,EGLN1
4144,DFFB
4163,AGTR1
4166,PIM1
4171,DUSP3
4173,DUSP1
4176,GSTA1
4188,DUSP6
4190,XPNPEP1
4195,KCNC2
4197,KCNC1
4198,KCNC4
4200,KCNC3
4201,HRH4
4203,HRH3
4204,HRH2
4205,HRH1
4207,SIGMAR1
4209,FXYD2
4212,DDAH1
4213,RFK
4214,CACNA1I
4216,FGFR2
4217,FGFR1
4219,FGFR4
